      lat        lon
  54.2501  -123.4958
  54.2543  -123.4958
  54.2543  -123.5000
  54.2668  -123.5000
  54.2668  -123.5208
  54.2751  -123.5208
  54.2751  -123.5000
  54.2793  -123.5000
  54.2793  -123.4958
  54.2835  -123.4958
  54.2835  -123.4875
  54.2960  -123.4875
  54.2960  -123.4958
  54.3001  -123.4958
  54.3001  -123.5042
  54.3043  -123.5042
  54.3043  -123.5083
  54.3001  -123.5083
  54.3001  -123.5250
  54.3043  -123.5250
  54.3043  -123.5500
  54.3126  -123.5500
  54.3126  -123.5542
  54.3210  -123.5542
  54.3210  -123.5750
  54.3168  -123.5750
  54.3168  -123.5792
  54.3210  -123.5792
  54.3210  -123.5833
  54.3251  -123.5833
  54.3251  -123.6167
  54.3210  -123.6167
  54.3210  -123.6292
  54.3251  -123.6292
  54.3251  -123.6542
  54.3210  -123.6542
  54.3210  -123.6750
  54.3251  -123.6750
  54.3251  -123.6875
  54.3293  -123.6875
  54.3293  -123.6917
  54.3251  -123.6917
  54.3251  -123.7042
  54.3210  -123.7042
  54.3210  -123.7083
  54.3168  -123.7083
  54.3168  -123.7125
  54.3126  -123.7125
  54.3126  -123.7500
  54.3168  -123.7500
  54.3168  -123.7583
  54.3293  -123.7583
  54.3293  -123.7625
  54.3460  -123.7625
  54.3460  -123.7708
  54.3501  -123.7708
  54.3501  -123.7792
  54.3418  -123.7792
  54.3418  -123.7875
  54.3376  -123.7875
  54.3376  -123.7917
  54.3418  -123.7917
  54.3418  -123.8208
  54.3460  -123.8208
  54.3460  -123.8333
  54.3501  -123.8333
  54.3501  -123.8417
  54.3543  -123.8417
  54.3543  -123.8458
  54.3585  -123.8458
  54.3585  -123.8500
  54.3668  -123.8500
  54.3668  -123.8542
  54.3751  -123.8542
  54.3751  -123.8583
  54.3793  -123.8583
  54.3793  -123.8750
  54.3751  -123.8750
  54.3751  -123.8833
  54.3793  -123.8833
  54.3793  -123.8875
  54.3751  -123.8875
  54.3751  -123.9000
  54.3710  -123.9000
  54.3710  -123.9125
  54.3668  -123.9125
  54.3668  -123.9167
  54.3626  -123.9167
  54.3626  -123.9208
  54.3668  -123.9208
  54.3668  -123.9292
  54.3876  -123.9292
  54.3876  -123.9333
  54.3960  -123.9333
  54.3960  -123.9542
  54.4043  -123.9542
  54.4043  -123.9708
  54.4085  -123.9708
  54.4085  -123.9750
  54.4293  -123.9750
  54.4293  -123.9667
  54.4335  -123.9667
  54.4335  -123.9625
  54.4501  -123.9625
  54.4501  -123.9583
  54.4543  -123.9583
  54.4543  -123.9542
  54.4626  -123.9542
  54.4626  -123.9500
  54.4585  -123.9500
  54.4585  -123.9167
  54.4626  -123.9167
  54.4626  -123.9000
  54.4710  -123.9000
  54.4710  -123.8958
  54.4751  -123.8958
  54.4751  -123.8917
  54.5001  -123.8917
  54.5001  -123.8875
  54.5043  -123.8875
  54.5043  -123.8833
  54.5085  -123.8833
  54.5085  -123.8792
  54.5126  -123.8792
  54.5126  -123.8708
  54.5085  -123.8708
  54.5085  -123.8667
  54.5043  -123.8667
  54.5043  -123.8500
  54.5126  -123.8500
  54.5126  -123.8417
  54.5168  -123.8417
  54.5168  -123.8375
  54.5210  -123.8375
  54.5210  -123.8333
  54.5335  -123.8333
  54.5335  -123.8375
  54.5376  -123.8375
