lon ; lat 
  nan; nan 
 -123.49583333; 54.25012207 
 -123.49583333; 54.25428874 
 -123.50000000; 54.25428874 
 -123.50000000; 54.26678874 
 -123.52083333; 54.26678874 
 -123.52083333; 54.27512207 
 -123.50000000; 54.27512207 
 -123.50000000; 54.27928874 
 -123.49583333; 54.27928874 
 -123.49583333; 54.28345540 
 -123.48750000; 54.28345540 
 -123.48750000; 54.29595541 
 -123.49583333; 54.29595540 
 -123.49583333; 54.30012207 
 -123.50416667; 54.30012207 
 -123.50416667; 54.30428874 
 -123.50833333; 54.30428874 
 -123.50833333; 54.30012207 
 -123.52500000; 54.30012207 
 -123.52500000; 54.30428874 
 -123.55000000; 54.30428874 
 -123.55000000; 54.31262207 
 -123.55416667; 54.31262207 
 -123.55416667; 54.32095540 
 -123.57500000; 54.32095540 
 -123.57500000; 54.31678874 
 -123.57916667; 54.31678874 
 -123.57916667; 54.32095540 
 -123.58333333; 54.32095540 
 -123.58333333; 54.32512207 
 -123.61666667; 54.32512207 
 -123.61666667; 54.32095541 
 -123.62916667; 54.32095540 
 -123.62916667; 54.32512207 
 -123.65416667; 54.32512207 
 -123.65416667; 54.32095540 
 -123.67500000; 54.32095540 
 -123.67500000; 54.32512207 
 -123.68750000; 54.32512207 
 -123.68750000; 54.32928874 
 -123.69166667; 54.32928874 
 -123.69166667; 54.32512207 
 -123.70416667; 54.32512207 
 -123.70416667; 54.32095540 
 -123.70833333; 54.32095541 
 -123.70833333; 54.31678874 
 -123.71250000; 54.31678874 
 -123.71250000; 54.31262207 
 -123.75000000; 54.31262207 
 -123.75000000; 54.31678874 
 -123.75833333; 54.31678874 
 -123.75833333; 54.32928874 
 -123.76250000; 54.32928874 
 -123.76250000; 54.34595540 
 -123.77083333; 54.34595541 
 -123.77083333; 54.35012207 
 -123.77916667; 54.35012207 
 -123.77916667; 54.34178874 
 -123.78750000; 54.34178874 
 -123.78750000; 54.33762207 
 -123.79166667; 54.33762207 
 -123.79166667; 54.34178874 
 -123.82083333; 54.34178874 
 -123.82083333; 54.34595541 
